feature,mean_importance
GATS3v,7.846475824226357e-06
n6HRing,7.851691371105717e-06
ATSC8pe,7.85588430031259e-06
Radius,7.894803452935042e-06
AATS0i,7.909378700262596e-06
Xc-3d,7.932160738980104e-06
SlogP_VSA6,7.960832044003486e-06
Xp-3dv,7.961522928209668e-06
AATS2i,7.998675727247367e-06
ATS5d,8.042652095370876e-06
SLogP_ratio_MWC07,8.049291811690426e-06
C2SP3,8.076373232169046e-06
Xp-6dv,8.098228055737361e-06
Mse,8.195709568345477e-06
AATSC3dv,8.254150268138718e-06
NaaNH_diff_SLogP,8.278026553271232e-06
MATS3are,8.282667195697729e-06
SaaaC,8.309170643617387e-06
ATSC8d,8.368300726171486e-06
SLogP_sum_AATS1p,8.38253319638575e-06
GGI8_sum_SLogP,8.518023496772997e-06
AATS1are,8.557815879238484e-06
SIC1_diff_SLogP,8.562008024910055e-06
AATSC1se,8.569328212172828e-06
nBondsKS,8.614825692152603e-06
Xc-5d,8.62092565445281e-06
ATS8p,8.645810898938456e-06
MATS3p,8.809099954671262e-06
CIC2,8.836730317114075e-06
SaaNH,8.897763722018684e-06
SsNH2,8.914881926267836e-06
AATS0are,8.924699901281633e-06
mZagreb2,9.033974979203146e-06
ATS6se,9.078614949593107e-06
MATS1Z,9.079066055498428e-06
ATS3i,9.083226941850389e-06
AATS4p,9.118282602853592e-06
GATS2dv,9.125235120939663e-06
MATS3pe,9.143791812419536e-06
ATSC4se,9.160624739493889e-06
AATSC1Z,9.205295017083917e-06
Mi,9.217923027252367e-06
SMR_VSA6,9.219811059758225e-06
NssO,9.228181452106826e-06
IC4,9.235198504528846e-06
PEOE_VSA3,9.259245062444733e-06
EState_VSA4,9.279964820113445e-06
SLogP_diff_eluent.B.formic,9.356601646829526e-06
eluent.A.meoh,9.37878886140709e-06
Xpc-6dv,9.487712896934752e-06
SLogP_sum_AXp-1dv,9.506478815952697e-06
SsCl,9.557155186444653e-06
MATS3i,9.563552262104643e-06
AATS4i,9.72930625173828e-06
AATSC4are,9.76210907916884e-06
SdsssP,9.873485590015072e-06
Mv,9.973768923927755e-06
MATS1p,1.0012051853388465e-05
ATSC2m,1.0050747078187064e-05
ATSC2i,1.0143596780566761e-05
ATS5v,1.0183865768010388e-05
GATS2i,1.0222622914001032e-05
AATS3pe,1.0234580146109215e-05
ATS4Z,1.0284511122009548e-05
eluent.A.nh4ac,1.0298726952913048e-05
AATSC2v,1.031020737561842e-05
nAromAtom,1.0343033680465085e-05
eluent.A.nh4f,1.0441055187804075e-05
NsNH2,1.0517569626388064e-05
GATS3se,1.0525967004176416e-05
n10FAHRing_diff_SLogP,1.058793705013359e-05
ATS5are,1.0684770275561777e-05
GGI7,1.0707137344031451e-05
MATS4i,1.0854921816634816e-05
AATS2m,1.095853804040656e-05
C3SP2,1.0976115304566804e-05
EState_VSA8,1.1055893477459558e-05
NaaCH,1.1064496808997625e-05
naHRing,1.1064804050637134e-05
ATSC3dv,1.1075710121837696e-05
GATS3pe,1.1114420672513666e-05
nBondsM,1.1280018943067745e-05
GATS1pe,1.133567499315806e-05
CIC5,1.1698531285562336e-05
AATSC1v,1.1702676609717973e-05
ATSC7d,1.1853115726393088e-05
GATS1v,1.1880771805029312e-05
piPC2,1.1893515484181702e-05
PEOE_VSA2,1.1893650457617169e-05
JGI1,1.1933138473425083e-05
SssssC,1.1971060387713784e-05
SLogP_sum_MATS2dv,1.198799970728373e-05
ATSC6v,1.2116747760707383e-05
ATS7Z,1.2271007898056844e-05
MIC0,1.2303876633940058e-05
AATSC0pe,1.234417370750071e-05
CIC0,1.2359522369127535e-05
EState_VSA1,1.2396201979997072e-05
fragCpx,1.2414460501204098e-05
AATS2d,1.2472929970105181e-05
BIC4,1.2558085239184127e-05
AATSC0are,1.2583779408420741e-05
RotRatio,1.2592604470399154e-05
ion exchange capacity pH 2.7,1.283744295441265e-05
AATS1se,1.2842474545561675e-05
MZ,1.2877251054781506e-05
SlogP_VSA5,1.287953507055125e-05
JGI5,1.3141459555713557e-05
ECIndex,1.320475920851133e-05
AATSC2d,1.321500335045257e-05
AATSC0m,1.3278104041185203e-05
ATS0se,1.3548339986650496e-05
fMF,1.3708167461177947e-05
Kier2,1.3708639888233322e-05
ATSC3are,1.3852006893922288e-05
C3SP3,1.3933446526713263e-05
