Rank,CDF,Column Name,kPB,?CH2,?T/O,?C/P,?B/P pH 7.6,?B/P pH 2.7,Type*,Particle Size** [µm],TPP/SPP,Pore Size [A]
309,-2.37,Alltima HP C18 EPS,0.61,1.34,1.95,2.25,4.35,0.2,C18,5,TPP,190
257,-1.928,Alltima HP C18 HL,7.84,1.51,1.57,0.39,0.4,0.1,C18,5,TPP,190
138,-1.23,Allure biphenyl,3.73,1.33,1.55,2.21,0.81,0.05,Biphenyl,5,TPP,60
334,-3.077,Allure C18,10.46,1.58,1.58,0.39,0.65,0.09,C18,5,TPP,60
255,-1.915,Allure PFP propyl,3.04,1.28,2.69,0.68,1.13,0.34,PFP,5,TPP,60
207,-1.54,Allure phenyl,1.75,1.27,0.96,0.94,0.52,0.15,Phenyl,5,TPP,60
35,-0.854,Aquasil C18,4.14,1.41,1.84,1.18,2.29,0.16,C18,5,TPP,100
30,-0.831,Ascentis Amide RP 3um,4.9,1.43,1.65,0.22,0.2,0.04,PEG,3,TPP,100
21,-0.8,Ascentis Amide RP 5um,4.8,1.43,1.61,0.23,0.2,0.04,PEG,5,TPP,100
238,-1.746,Ascentis C18,7.35,1.5,1.59,0.37,0.31,0.08,C18,5,TPP,100
123,-1.169,Ascentis C8,3.61,1.41,0.93,0.31,0.25,0.07,C8,5,TPP,100
216,-1.601,Ascentis Express Biphenyl,1.69,1.29,1.53,2.3,0.96,0.16,Biphenyl,2.7,SPP,90
131,-1.209,Ascentis Express C18,5.39,1.5,1.42,0.42,0.7,0.1,C18,2.7,SPP,90
146,-1.265,Ascentis Express C8,2.34,1.41,0.94,0.29,0.27,0.08,C8,2.7,SPP,90
271,-1.983,Ascentis Express PFP,1.32,1.26,2.52,0.74,1.66,0.34,PFP,2.7,SPP,90
69,-0.97,Ascentis Express Phenyl hexyl,2.17,1.34,1.2,0.88,0.46,0.11,Phenyl,2.7,SPP,90
11,-0.717,Ascentis Express RP-Amide,3.87,1.43,1.79,0.22,0.25,0.06,PEG,2.7,SPP,90
141,-1.246,Ascentis phenyl,2.32,1.31,1,0.96,0.44,0.14,Phenyl,0,TPP,100
350,-4.002,Astec Polymer C18,4.92,1.35,4.09,0.15,0.04,0.01,C18,5,TPP,300
26,-0.822,Atlantis dC18,3.74,1.45,1.23,0.61,0.56,0.11,C18,5,TPP,100
145,-1.258,Atlantis T3,5.48,1.47,1.17,0.49,0.25,0.11,C18,3,TPP,100
