feature,mean_importance
AATS1d,4.400386700714569e-06
AATSC3se,4.405208961505078e-06
SlogP_VSA6,4.437655870720945e-06
ATS8pe,4.457792522315467e-06
PEOE_VSA4,4.466528923038719e-06
C1SP3,4.476412360685748e-06
SLogP_multiply_GATS1d,4.493499919864738e-06
GATS3Z,4.5328688823865865e-06
ATS1pe,4.57302701052575e-06
AATS1p,4.625198883225455e-06
piPC6,4.626055299807117e-06
SRW08_sum_SLogP,4.654732160847258e-06
ATSC0v,4.671109162063432e-06
MATS1se,4.683843314582694e-06
AATSC2m,4.699553517179943e-06
AATS3m,4.75525916464551e-06
ATSC4pe,4.775274205134211e-06
SLogP_sum_MZ,4.8300812502077154e-06
ATSC3pe,4.857566285999815e-06
Xp-4dv,4.861206138612878e-06
AATSC4se,4.922627249137265e-06
MPC8,4.929369219805468e-06
ATS1m,4.941300156530853e-06
ATSC0are,4.942203901234232e-06
EState_VSA1,5.002636899296628e-06
AATSC3d,5.0827168268854394e-06
GATS2Z,5.094381206724018e-06
ATSC5se,5.112352513001427e-06
n6HRing,5.121538072645066e-06
AATS3se,5.135957553407695e-06
SMR_VSA6,5.145654750054237e-06
ATSC1d,5.220434507159036e-06
SMR_VSA7,5.240641565003312e-06
ATSC1Z,5.284103187738407e-06
PEOE_VSA7,5.307533545485191e-06
SMR_VSA4,5.326568666269658e-06
SssssN,5.347642804924037e-06
NdssS,5.355215645660733e-06
AATSC1pe,5.361275229260297e-06
AATS2se,5.374125318307037e-06
MATS2d,5.374269034978847e-06
TIC1,5.424813371064045e-06
PEOE_VSA1,5.430222345604533e-06
ion exchange capacity pH 2.7,5.436306231597614e-06
SlogP_VSA8,5.545291616441093e-06
SsCl,5.608796387323017e-06
piPC5,5.631903951183389e-06
IC4,5.668974929592951e-06
SLogP_sum_piPC2,5.715428061653111e-06
Mv,5.735134520182869e-06
SsOH,5.756830124057678e-06
eluent.B.nh4form,5.783900522629906e-06
ATSC2pe,5.856158667135684e-06
MATS1dv,5.866215190909653e-06
AATSC1p,5.901331227821556e-06
ATS7p,5.9030956042632926e-06
AATSC1v,5.905428706952462e-06
ATSC4v,5.929045317294018e-06
ATSC3i,5.9839722481610895e-06
MATS3dv,6.0087499099715886e-06
ATSC3se,6.042192299517915e-06
MPC9,6.089123147924852e-06
SsCH3,6.170547945692426e-06
GATS2pe,6.203702664925575e-06
EState_VSA9,6.252943116484989e-06
SLogP_sum_Xc-5d,6.361753701812286e-06
CIC5,6.368252668933604e-06
ABC,6.371980791965506e-06
ATSC3Z,6.525905286564829e-06
AATS3p,6.576659456534583e-06
SRW02_sum_SLogP,6.579978010094398e-06
ATS7i,6.581770977303128e-06
BIC1,6.583363143503919e-06
AATS3dv,6.5925327905135e-06
